Month,Monthly (%),Through the year (%)
Jun-20,2.7,8.1
Jul-20,4.1,12.4
Aug-20,-4.3,7.1
Sep-20,-1.3,5.6
Oct-20,2,7.3
Nov-20,5,12.9
Dec-20,-1,10.5
Jan-21,-0.3,10.5
Feb-21,-1.2,9.2
Mar-21,0.7,2.3
Apr-21,1.2,24.8
May-21,0,7.6
Jun-21,-1.4,3.2
Jul-21,-2.5,-3.3
Aug-21,-1.9,-0.9
Sep-21,1.8,2.1
Oct-21,5,5.1
Nov-21,4.9,5
Dec-21,-0.7,5.3
Jan-22,0.8,6.5
Feb-22,1.2,9.1
Mar-22,1.2,9.6
Apr-22,1.1,9.5
May-22,0.5,10
Jun-22,0.8,12.5
Jul-22,1,16.5
Aug-22,0.3,19.2
Sep-22,0.6,17.7
Oct-22,0.3,12.5
Nov-22,0.2,7.5
Dec-22,-0.6,7.5
Jan-23,1.1,7.8
Feb-23,-0.1,6.5
Mar-23,0.3,5.6
Apr-23,-0.1,4.4
May-23,0.3,4.2
Jun-23,-1,2.3
Jul-23,0.6,1.9
Aug-23,0.1,1.7
Sep-23,0.8,1.9
Oct-23,-0.4,1.1
Nov-23,1.1,2
Dec-23,-1.6,1
Jan-24,1,1
Feb-24,0.5,1.6
Mar-24,-0.4,0.9
Apr-24,0.5,1.4
May-24,0.8,2
Jun-24,-0.1,2.8
Jul-24,0.2,2.4
Aug-24,0.7,3.1
Sep-24,0.2,2.4
Oct-24,0.6,3.5
Nov-24,0.6,2.9
Dec-24,-0.1,4.5
Jan-25,0.5,4
Feb-25,0.1,3.6
Mar-25,0.3,4.3
Apr-25,0,3.8
May-25,0.5,3.5
Jun-25,1.2,4.9
