"Proportion of industry group turnover online, original",Food (%),Non-Food (%),Total (%)
Jun-20,4.9,15,9.7
Jul-20,5.2,15.2,9.8
Aug-20,5.8,17.6,11
Sep-20,5.7,16.8,10.6
Oct-20,5.3,16.6,10.4
Nov-20,5.2,16.8,11
Dec-20,4.5,13.6,9.1
Jan-21,5.2,13.9,9.1
Feb-21,5.4,14.2,9.3
Mar-21,5.6,14.1,9.4
Apr-21,5.1,14,9.2
May-21,4.9,14.2,9.1
Jun-21,5.4,16.3,10.5
Jul-21,6.4,20.4,12.6
Aug-21,7.4,25.1,15
Sep-21,7.2,25.5,15.3
Oct-21,6.4,21.2,13.2
Nov-21,5.9,18.7,12.5
Dec-21,5.4,15.4,10.5
Jan-22,5.8,17.5,11.1
Feb-22,5.7,16.1,10.4
Mar-22,5.9,16.7,10.9
Apr-22,5.5,15.4,10
May-22,5.6,16.1,10.5
Jun-22,5.6,16.3,10.7
Jul-22,5.8,16.2,10.6
Aug-22,5.8,16.4,10.7
Sep-22,5.7,16.1,10.5
Oct-22,5.6,16.7,10.7
Nov-22,5.8,19.4,12.6
Dec-22,5.2,15.7,10.4
Jan-23,5.2,16.7,10.3
Feb-23,5.4,16.9,10.4
Mar-23,5.7,16.6,10.5
Apr-23,5.3,16.1,10
May-23,5.7,17.2,10.9
Jun-23,5.9,17,11
Jul-23,5.9,16.4,10.5
Aug-23,6,16.5,10.6
Sep-23,6,16.1,10.5
Oct-23,6.1,16.6,10.8
Nov-23,6.4,19.4,12.7
Dec-23,5.7,15.7,10.6
Jan-24,5.8,16.6,10.6
Feb-24,6.2,16.7,10.7
Mar-24,6.1,16.6,10.5
Apr-24,6.1,17.2,11
May-24,6.3,17.7,11.4
Jun-24,6.5,17.7,11.6
Jul-24,6.4,18.3,11.7
Aug-24,6.4,17.8,11.4
Sep-24,6.3,17.8,11.4
Oct-24,6.5,17.8,11.6
Nov-24,6.6,20,13.1
Dec-24,6,17.3,11.6
Jan-25,6.3,17.8,11.4
Feb-25,6.4,18.1,11.5
Mar-25,6.5,18.3,11.6
Apr-25,6.6,17.6,11.4
May-25,6.9,17.9,11.9
Jun-25,7.2,19,12.7
