census_year,clue_small_area,clue_industry,total_establishments
2004,Kensington,Wholesale Trade,16
2004,Melbourne (CBD),Food Catering Services,3
2004,Melbourne (CBD),Food Catering Services,48
2004,Melbourne (CBD),Agriculture and Mining,2
2004,Melbourne (CBD),Arts and Recreation Services,84
2004,Melbourne (CBD),Construction,1
2004,Melbourne (CBD),"Electricity, Gas, Water",6
2004,Melbourne (CBD),Agriculture and Mining,22
2004,Melbourne (CBD),Public Administration and Safety,63
2004,Melbourne (CBD),"Transport, Postal and Storage",14
2004,Melbourne (CBD),Wholesale Trade,1
2004,Melbourne (CBD),Wholesale Trade,122
2004,Melbourne (Remainder),Agriculture and Mining,1
2004,Melbourne (Remainder),Arts and Recreation Services,13
2004,Melbourne (Remainder),Education and Training,2
2004,Melbourne (Remainder),Education and Training,2
2004,Melbourne (Remainder),Information Media,5
2004,Melbourne (Remainder),Retail Trade,18
2004,North Melbourne,Education and Training,1
2004,North Melbourne,Other Services,112
2004,North Melbourne,Public Administration and Safety,3
2004,North Melbourne,Real Estate Services,8
2004,Parkville,Education and Training,6
2004,Parkville,Education and Training,4
2004,Parkville,Health Care and Social Assistance,5
2004,Parkville,Business Services,1
2004,Port Melbourne,Food and Beverage Services,2
2004,Port Melbourne,Arts and Recreation Services,5
2004,Port Melbourne,Agriculture and Mining,1
2004,Port Melbourne,Other Services,1
2004,South Yarra,Education and Training,4
2004,South Yarra,"Electricity, Gas, Water",6
2004,Southbank,Food Catering Services,2
2004,Southbank,Admin and Support Services,13
2004,Southbank,"Electricity, Gas, Water",1
2004,Southbank,Agriculture and Mining,1
2004,Southbank,Agriculture and Mining,3
2004,Southbank,Real Estate Services,9
2004,Southbank,Wholesale Trade,3
2004,West Melbourne (Industrial),Other Services,6
2004,West Melbourne (Industrial),Wholesale Trade,31
2004,West Melbourne (Industrial),Wholesale Trade,187
2004,West Melbourne (Residential),Food and Beverage Services,40
2004,West Melbourne (Residential),Admin and Support Services,1
2004,West Melbourne (Residential),Arts and Recreation Services,1
2004,West Melbourne (Residential),Arts and Recreation Services,10
2004,West Melbourne (Residential),Construction,3
2004,West Melbourne (Residential),Finance and Insurance,3
2004,West Melbourne (Residential),Manufacturing,30
2004,West Melbourne (Residential),Rental and Hiring Services,1
2004,West Melbourne (Residential),Retail Trade,1
2004,West Melbourne (Residential),"Transport, Postal and Storage",1
2003,Carlton,Food and Beverage Services,1
2003,Carlton,Admin and Support Services,4
2003,Carlton,Rental and Hiring Services,4
2003,Carlton,Retail Trade,7
2003,Docklands,Admin and Support Services,1
2003,Docklands,Construction,4
2003,Docklands,"Electricity, Gas, Water",1
2003,Docklands,Information Media,2
2003,Docklands,Business Services,1
2003,Docklands,Public Administration and Safety,3
2003,East Melbourne,Admin and Support Services,16
2003,East Melbourne,Public Administration and Safety,8
2003,Kensington,Rental and Hiring Services,1
2003,Melbourne (CBD),Food and Beverage Services,87
2003,Melbourne (CBD),Food and Beverage Services,8
2003,Melbourne (CBD),Admin and Support Services,78
2003,Melbourne (CBD),"Electricity, Gas, Water",6
2003,Melbourne (CBD),"Electricity, Gas, Water",33
2003,Melbourne (CBD),Other Services,3
2003,Melbourne (CBD),Public Administration and Safety,70
2003,Melbourne (CBD),Rental and Hiring Services,1
2003,Melbourne (CBD),"Transport, Postal and Storage",13
2003,Melbourne (Remainder),Arts and Recreation Services,22
2003,Melbourne (Remainder),Other Services,2
2003,North Melbourne,Food and Beverage Services,2
2003,North Melbourne,Construction,4
2003,North Melbourne,Education and Training,5
2003,North Melbourne,Education and Training,1
2003,North Melbourne,Health Care and Social Assistance,32
2003,North Melbourne,Manufacturing,68
2003,North Melbourne,Agriculture and Mining,1
2003,North Melbourne,Public Administration and Safety,1
2003,North Melbourne,Retail Trade,3
2003,Parkville,Education and Training,4
2003,Parkville,Health Care and Social Assistance,5
2003,Parkville,Information Media,1
2003,Parkville,Retail Trade,17
2003,Parkville,"Transport, Postal and Storage",1
2003,Port Melbourne,Arts and Recreation Services,1
2003,Port Melbourne,Information Media,1
2003,Port Melbourne,Manufacturing,6
2003,Port Melbourne,Manufacturing,19
2003,South Yarra,Food and Beverage Services,4
2003,South Yarra,Arts and Recreation Services,3
2003,South Yarra,Other Services,8
2003,South Yarra,Public Administration and Safety,2
2003,South Yarra,Retail Trade,10
2003,Southbank,Food Catering Services,1
2003,Southbank,Food and Beverage Services,38
2003,Southbank,Health Care and Social Assistance,1
2003,Southbank,Information Media,5
2003,Southbank,Information Media,11
2003,Southbank,Manufacturing,1
2003,Southbank,Business Services,60
2003,West Melbourne (Industrial),Agriculture and Mining,1
2003,West Melbourne (Industrial),Construction,1
2003,West Melbourne (Industrial),Wholesale Trade,187
2003,West Melbourne (Residential),Food Catering Services,1
