census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2017,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,Lucky Chans,"Shop 30, Ground , 8 Whiteman Street SOUTHBANK 3006",4511,Cafes and Restaurants,Seats - Outdoor,140,144.9583356,-37.8231616,"-37.823161595550005, 144.9583356388194"
2018,806,110343,640947,27-45 Whiteman Street SOUTHBANK 3006,Southbank,Mr Hive Kitchen & Bar,"Shop 140, Ground , 27 Whiteman Street SOUTHBANK 3006",4511,Cafes and Restaurants,Seats - Indoor,358,144.9584422,-37.82540403,"-37.825404033, 144.95844223381087"
2018,811,110362,110362,133-139 City Road SOUTHBANK 3006,Southbank,Dee Casa,139 City Road SOUTHBANK 3006,4511,Cafes and Restaurants,Seats - Outdoor,16,144.9635826,-37.82348398,"-37.82348398275, 144.9635826319669"
2018,870,102178,102178,23-99 Commercial Road MELBOURNE 3004,Melbourne (Remainder),Alf's Cafe,"Shop 2, 55 Commercial Road MELBOURNE 3004",4511,Cafes and Restaurants,Seats - Indoor,244,144.9828162,-37.8465703,"-37.84657030085, 144.9828162329293"
2018,920,618951,618951,18-22 Flemington Road PARKVILLE 3050,Parkville,Isabella,"Shop 1, 20 Flemington Road PARKVILLE 3050",4511,Cafes and Restaurants,Seats - Indoor,80,144.9550029,-37.79885279,"-37.79885279195, 144.95500291431983"
2018,1105,628712,628712,717-731 Collins Street DOCKLANDS 3008,Docklands,Long Shot,"Tenancy 44, Ground , 727 Collins Street DOCKLANDS 3008",4511,Cafes and Restaurants,Seats - Indoor,50,144.9501181,-37.82070279,"-37.82070279135, 144.95011811232098"
2018,1107,602858,602858,2-48 Harbour Esplanade DOCKLANDS 3008,Docklands,Cafe La Kiss,1 Harbour Esplanade DOCKLANDS 3008,4511,Cafes and Restaurants,Seats - Outdoor,24,144.9486227,-37.82202104,"-37.82202103918969, 144.9486227334"
2018,1108,611364,611364,791-803 Bourke Street DOCKLANDS 3008,Docklands,Pok Pok,"Shop 7, 801 Bourke Street DOCKLANDS 3008",4511,Cafes and Restaurants,Seats - Indoor,50,144.9456206,-37.81974124,"-37.81974124479267, 144.9456206136"
2018,1108,611367,611367,791-833 Collins Street DOCKLANDS 3008,Docklands,Koji Sushi,"Shop 10, 833 Collins Street DOCKLANDS 3008",4511,Cafes and Restaurants,Seats - Outdoor,20,144.9457013,-37.82206262,"-37.82206262355, 144.94570130868357"
2018,1110,620312,593737,23-37 Star Crescent DOCKLANDS 3008,Docklands,Subway,9 Star Crescent DOCKLANDS 3008,4511,Cafes and Restaurants,Seats - Outdoor,40,144.9379984,-37.81328752,"-37.8132875163, 144.93799836630816"
2018,2384,617689,617689,27-31 Racecourse Road NORTH MELBOURNE 3051,North Melbourne,Melbourne Kebab Box,"Kiosk , Adjacent 27-31 Racecourse Road NORTH MELBOURNE 3051",4512,Takeaway Food Services,Seats - Outdoor,10,144.9409608,-37.78974281,"-37.78974280720024, 144.94096077615"
2018,2390,617396,617396,41-61 Boundary Road NORTH MELBOURNE 3051,North Melbourne,Souperman,Part 47-51 Boundary Road NORTH MELBOURNE 3051,4513,Catering Services,Seats - Indoor,17,144.9387114,-37.79407408,"-37.79407408323281, 144.9387113541"
2019,6,110655,110655,1-19 Princes Walk MELBOURNE 3000,Melbourne (CBD),Pilgrim,"Vault , 15-19 Princes Walk MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,130,144.9686538,-37.81867875,"-37.81867874765, 144.96865384918814"
2019,14,108114,108114,28-38 Queen Street MELBOURNE 3000,Melbourne (CBD),Kenny's Bakery Cafe,"Shop 3, Ground , 34 Queen Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Indoor,8,144.9624375,-37.81798972,"-37.81798972045, 144.9624374712571"
