name,rankingPosition,priceLevel,category,rating,address,numberOfReviews,cuisine,priceLevelNumeric
Hopetoun Tea Rooms est. 1892,26,$$ - $$$,restaurant,4.07,"421 Bourke St Hopetoun Tea Rooms, Melbourne, Victoria 3000 Australia",2311,Chinese,3
Da Guido La Pasta,2,$$ - $$$,restaurant,4.06,"130 Lygon St Carlton, Melbourne, Victoria 3053 Australia",1095,Italian,2
Foglia di Fico,3,$$ - $$$,restaurant,4.3,"585 La Trobe St (Spencer St entrance), Melbourne, Victoria 3000 Australia",202,Mexican,2
Pidapipo Gelateria,11,$,restaurant,4.32,"299 Lygon St, Carlton, Melbourne, Victoria 3053 Australia",433,Australian,1
Kazuki's,9,$$$$,restaurant,3.8,"121 Lygon St Carlton, Melbourne, Victoria 3053 Australia",500,Australian,4
Hochi Mama,17,$$ - $$$,restaurant,4.14,"35 Little Bourke St, Melbourne, Victoria 3000 Australia",1469,Indian,2
Sezar,18,$$ - $$$,restaurant,4.4,"6 Melbourne Pl, Melbourne, Victoria 3000 Australia",1024,Dessert,3
The French Brasserie,19,$$$$,restaurant,4.6,"2 Malthouse Lane, Melbourne, Victoria 3000 Australia",721,French,4
The Railway Club Hotel Steakhouse,24,$$ - $$$,restaurant,4.6,"107 Raglan St Port Melbourne, Melbourne, Victoria 3207 Australia",680,American,3
Bistrot d'Orsay,29,$$ - $$$,restaurant,3.67,"184 Collins St, Melbourne, Victoria 3000 Australia",497,French,3
Da Guido 365,7,$$ - $$$,restaurant,3.15,"365 Little Collins St, Melbourne, Victoria 3000 Australia",524,Middle Eastern,2
Roule Galette Melbourne,8,$,restaurant,4.65,"241 Flinders Lane Shop 1, Melbourne, Victoria 3000 Australia",604,Seafood,1
Eau De Vie,15,$$ - $$$,restaurant,4.3,"1 Malthouse Lane, Melbourne, Victoria 3000 Australia",814,Mexican,2
Tipo 00,20,$$ - $$$,restaurant,4.3,"361 Little Bourke St, Melbourne, Victoria 3000 Australia",823,Korean,2
Ruyi Modern Chinese,25,$$ - $$$,restaurant,4.6,"16 Liverpool St, Melbourne, Victoria 3000 Australia",377,Chinese,2
David's Master Pot (Elizabeth St - CBD),21,$$ - $$$,restaurant,4.51,"462 Elizabeth St, Melbourne, Victoria 3000 Australia",140,Mexican,2
Longrain,28,$$ - $$$,restaurant,4.23,"44 Little Bourke St, Melbourne, Victoria 3000 Australia",1172,Dessert,2
Straight Outta Saigon,13,$$ - $$$,restaurant,3.76,"138 Russell Street Ground level, Melbourne, Victoria 3000 Australia",337,American,2
Patricia Coffee Brewers,27,$,restaurant,4.27,"493-495 Little Bourke St, Melbourne, Victoria 3000 Australia",212,Café,1
Coda,49,$$$$,restaurant,4.5,"141 Flinders Lane, Melbourne, Victoria 3000 Australia",1150,Vietnamese,4
Bowery to Williamsburg,55,$$ - $$$,restaurant,4.8,"16 Oliver Lane, Melbourne, Victoria 3000 Australia",322,Middle Eastern,3
Rare Steakhouse Midtown,51,$$ - $$$,restaurant,4.6,"12 Goldie Pl, Melbourne, Victoria 3000 Australia",344,American,2
Seven Seeds,46,$$ - $$$,restaurant,4.8,"114 Berkley Street Carlton, Melbourne, Victoria Australia",381,Korean,2
Betty’s Burgers & Concrete Co,44,$,restaurant,3.75,"97 Elizabeth St, Melbourne, Victoria 3000 Australia",1215,American,1
seamstress,36,$$ - $$$,restaurant,4.63,"113 Lonsdale St, Melbourne, Victoria 3000 Australia",501,Korean,2
Laksa King,61,$,restaurant,3.05,"6-12 Pin Oak Cres Flemington, Melbourne, Victoria 3031 Australia",557,Korean,1
Sud Food and Wine,56,$$ - $$$,restaurant,3.0,"219 King St, Melbourne, Victoria 3000 Australia",230,Middle Eastern,3
11 Inch Pizza,4,$,restaurant,4.31,"Shop 7A 353 Little Collins St, Melbourne, Victoria 3000 Australia",324,Italian,1
Operator 25,22,$$ - $$$,restaurant,4.8,"25 Wills St, Melbourne, Victoria 3000 Australia",447,Australian,2
